loc_rowid,pl_hostname,pl_letter,pl_orbper,pl_orbeccen
644,HD 4732,b,360.2,0.13
645,HD 4732,c,2732,0.23
646,HD 47366,b,363.3,0.089
647,HD 47366,c,684.7,0.278
648,HD 47536,b,712.13,0.2
649,HD 48265,b,780.3,0.08
650,HD 49674,b,4.94737,0.09
651,HD 50499,b,2482.7,0.23
652,HD 50554,b,1293,0.501
653,HD 52265,b,119.29,0.32
654,HD 5319,b,641,0.02
655,HD 5319,c,886,0.15
656,HD 5583,b,139.35,0.076
657,HD 5608,b,792.59998,0.19
658,HD 564,b,492.3,0.096
659,HD 5891,b,177.11,0.07
660,HD 59686 A,b,299.36,0.05
661,HD 60532,b,201.9,0.26
662,HD 60532,c,600.1,0.03
663,HD 62509,b,589.64,0.02
664,HD 63454,b,2.81805,0
665,HD 63765,b,358,0.24
666,HD 6434,b,21.998,0.17
667,HD 65216,b,613.09998,0.41
668,HD 65216,c,152.6,0.02
669,HD 66141,b,480.5,0.07
670,HD 66428,b,1973,0.47
671,HD 67087,b,352.2,0.17
672,HD 67087,c,2374,0.76
673,HD 6718,b,2496,0.1
674,HD 68402,b,1103,0.03
675,HD 68988,b,6.27711,0.12
676,HD 69830,b,8.667,0.1
677,HD 69830,c,31.56,0.13
678,HD 69830,d,197,0.07
679,HD 70573,b,851.8,0.4
680,HD 70642,b,2068,0.03
681,HD 7199,b,615,0.19
682,HD 72659,b,3658,0.22
683,HD 72892,b,39.475,0.423
684,HD 73256,b,2.54858,0.03
685,HD 73267,b,1260,0.256
686,HD 73526,b,188.3,0.19
687,HD 73526,c,379.1,0.28
688,HD 73534,b,1770,0.07
689,HD 74156,b,51.645,0.627
690,HD 74156,c,2473,0.432
691,HD 7449,b,1275,0.82
692,HD 75289,b,3.50927,0.03
693,HD 75784,b,5040,0.36
694,HD 75898,b,418.20001,0.1
695,HD 76700,b,3.97097,0.09
696,HD 76920,b,415.4,0.856
697,HD 77338,b,5.7361,0.09
698,HD 7924,b,5.39792,0.06
699,HD 7924,c,15.299,0.098
700,HD 7924,d,24.451,0.21
701,HD 79498,b,1966.1,0.59
702,HD 80606,b,111.4367,0.93
703,HD 81040,b,1001.70001,0.53
704,HD 81688,b,184.02,0
705,HD 82886,b,705,0.07
706,HD 82943,b,441.47,0.162
707,HD 82943,c,220.078,0.3663
708,HD 83443,b,2.9857,0.01
709,HD 8535,b,1313,0.15
710,HD 85390,b,788,0.41
711,HD 85512,b,58.43,0.11
712,HD 8574,b,227,0.3
713,HD 86081,b,2.1375,0.01
714,HD 86226,b,1695,0.15
715,HD 86264,b,1475,0.7
716,HD 8673,b,1634,0.723
717,HD 86950,b,1270,0.17
718,HD 87646,b,13.481,0.05
719,HD 87883,b,2754,0.53
720,HD 88133,b,3.41587,0.13
721,HD 89307,b,2166,0.2
722,HD 89345,b,11.81399,0.203
723,HD 89744,b,256.78,0.673
724,HD 90156,b,49.77,0.31
725,HD 9174,b,1179,0.12
726,HD 92788,b,325.81,0.33
727,HD 93083,b,143.58,0.14
728,HD 9446,b,30.052,0.2
729,HD 9446,c,192.9,0.06
731,HD 95089,b,507,0.157
732,HD 95127,b,482,0.11
733,HD 95872,b,4375,0.06
734,HD 96063,b,361.1,0.03
735,HD 96127,b,647.29999,0.3
736,HD 96167,b,498.89999,0.71
737,HD 97658,b,9.4909,0.06
738,HD 98219,b,436.89999,0
739,HD 98649,b,4951,0.85
740,HD 99109,b,439.29999,0.09
741,HD 99492,b,17.0431,0.25
742,HD 99706,b,868,0.37
743,HIP 105854,b,184.2,0.02
744,HIP 107773,b,144.3,0.09
745,HIP 109384,b,499.48,0.549
746,HIP 109600,b,232.08,0.163
747,HIP 116454,b,9.1205,0.2
748,HIP 12961,b,57.435,0.17
749,HIP 14810,b,6.67386,0.14
750,HIP 14810,c,147.73,0.164
751,HIP 14810,d,952,0.173
757,HIP 5158,b,345.72,0.52
758,HIP 5158,c,9017.76,0.14
759,HIP 57274,b,8.1352,0.19
760,HIP 57274,c,32.03,0.05
761,HIP 57274,d,431.7,0.27
762,HIP 63242,b,124.6,0.23
763,HIP 65407,b,28.125,0.14
764,HIP 65407,c,67.3,0.12
766,HIP 65891,b,1084.5,0.13
767,HIP 67537,b,2556.5,0.59
768,HIP 67851,b,88.9,0.05
769,HIP 67851,c,2131.8,0.17
770,HIP 70849,b,17337.5,0.715
771,HIP 74890,b,822.3,0.07
772,HIP 75458,b,511.098,0.7124
774,HIP 79431,b,111.7,0.29
775,HIP 8541,b,1560.2,0.16
776,HIP 91258,b,5.0505,0.02
777,HIP 97233,b,1058.8,0.61
780,HR 810,b,302.79999,0.14
785,K2-10,b,19.3044,0.31
786,K2-100,b,1.673916,0.24
787,K2-101,b,14.677286,0.1
788,K2-102,b,9.915615,0.1
789,K2-104,b,1.974238,0.09
791,K2-106,b,0.571292,0
792,K2-106,c,13.3397,0.18
793,K2-107,b,3.31392,0
794,K2-108,b,4.73401,0.18
796,K2-110,b,13.86375,0.079
797,K2-111,b,5.35117,0
798,K2-113,b,5.817608,0
799,K2-114,b,11.39109,0
800,K2-115,b,20.273034,0.137
801,K2-116,b,4.655411,0.06
802,K2-117,b,1.291505,0.06
803,K2-117,c,5.44482,0.15
804,K2-118,b,50.92092,0.2
805,K2-119,b,7.728578,0.07
807,K2-120,b,9.562742,0.14
808,K2-121,b,5.185754,0.22
809,K2-122,b,2.219405,0.21
810,K2-123,b,30.956763,0.06
811,K2-124,b,6.413539,0.08
812,K2-125,b,21.750264,0.08
813,K2-126,b,7.387073,0.06
814,K2-127,b,3.588165,0.12
815,K2-128,b,5.675819,0.23
816,K2-129,b,8.239493,0.13
818,K2-130,b,2.49412,0.17
819,K2-131,b,0.3693038,0
824,K2-136,b,7.975292,0.1
825,K2-136,c,17.307137,0.13
826,K2-136,d,25.575065,0.14
827,K2-137,b,0.179715,0
828,K2-138,b,2.35322,0.403
829,K2-138,c,3.55987,0.296
830,K2-138,d,5.40478,0.348
831,K2-138,e,8.26144,0.315
832,K2-138,f,12.75759,0.364
833,K2-139,b,28.38236,0.12
835,K2-140,b,6.5693,0.12
836,K2-141,b,0.2803244,0
837,K2-141,c,7.7485,0
885,K2-18,b,32.93963,0.43
886,K2-18,c,8.962,0.47
931,K2-21,b,9.325038,0.1
932,K2-21,c,15.50192,0.21
956,K2-229,b,0.584249,0
957,K2-229,c,8.32834,0
960,K2-232,b,11.168454,0.258
961,K2-233,b,2.46746,0
962,K2-233,c,7.06142,0
963,K2-233,d,24.3662,0
971,K2-25,b,3.484552,0.27
973,K2-27,b,6.771315,0.251
974,K2-28,b,2.260455,0
975,K2-29,b,3.2588321,0.066
979,K2-30,b,4.098503,0
980,K2-31,b,1.25785,0
981,K2-32,b,8.99213,0
982,K2-32,c,20.6602,0
983,K2-32,d,31.7154,0
984,K2-33,b,5.424865,0
985,K2-34,b,2.99561,0
986,K2-35,b,5.608352,0.12
987,K2-35,c,2.399964,0.13
995,K2-39,b,4.60543,0
996,K2-4,b,10.003417,0.08
998,K2-43,b,3.471341,0.07
1019,K2-60,b,3.00265,0
1032,K2-72,b,5.577212,0.11
1033,K2-72,c,15.189034,0.11
1034,K2-72,d,7.760178,0.11
1035,K2-72,e,24.158868,0.11
1040,K2-77,b,8.199796,0.14
1047,K2-81,b,6.102325,0.06
1058,K2-90,b,13.734907,0.07
1059,K2-90,c,2.900706,0.19
1063,K2-98,b,10.13675,0
1064,K2-99,b,18.249,0.19
1065,KELT-1,b,1.217514,0.0099
1067,KELT-11,b,4.736529,0
1068,KELT-12,b,5.031623,0
1069,KELT-14,b,1.7100566,0
1070,KELT-15,b,3.32944,0
1071,KELT-16,b,0.9689951,0
1073,KELT-18,b,2.8717518,0
1075,KELT-2 A,b,4.11379,0
1077,KELT-21,b,3.6127647,0
1078,KELT-3,b,2.70339,0
1079,KELT-4 A,b,2.9895932,0
1080,KELT-6,b,7.8457,0.22
1081,KELT-6,c,1276,0.21
1082,KELT-7,b,2.73477,0
1083,KELT-8,b,3.24406,0.04
1084,KELT-9,b,1.4811235,0
1092,KIC 7917485,b,840,0.15
1096,KOI-12,b,17.85523,0.72
1097,KOI-1257,b,86.647661,0.772
1098,KOI-13,b,1.763588,0.00064
1099,KOI-142,b,10.95416,0.05593
1100,KOI-142,c,22.3395,0.05628
1101,KOI-217,b,3.90512,0
1112,KOI-94,b,3.743208,0.25
1113,KOI-94,c,10.423648,0.43
1114,KOI-94,d,22.342989,0.022
1115,KOI-94,e,54.32031,0.019
1116,KPS-1,b,1.706291,0
1117,Kapteyn,c,121.54,0.23
1119,Kepler-10,c,45.294301,0
1133,Kepler-101,b,3.4876812,0.086
1134,Kepler-101,c,6.02976,0
1187,Kepler-105,b,5.4122,0.47
1256,Kepler-11,b,10.3039,0.045
1257,Kepler-11,c,13.0241,0.026
1258,Kepler-11,d,22.6845,0.004
1259,Kepler-11,e,31.9996,0.012
1260,Kepler-11,f,46.6888,0.013
1261,Kepler-11,g,118.3807,0.15
1350,Kepler-117,b,18.7959228,0.0493
1351,Kepler-117,c,50.790391,0.0323
1517,Kepler-130,c,27.50868,0
1651,Kepler-14,b,6.790123,0.035
1777,Kepler-15,b,4.942782,0.06
1909,Kepler-16,b,228.776,0.0069
1970,Kepler-1647,b,1107.5923,0.0581
1971,Kepler-1649,b,8.68909,0
1974,Kepler-1650,b,1.53818001,0.01
1975,Kepler-1651,b,9.87863917,0.13
1978,Kepler-1654,b,1047.8356,0.26
1983,Kepler-167,b,4.3931632,0
1984,Kepler-167,c,7.406114,0
1985,Kepler-167,d,21.803855,0.12
1986,Kepler-167,e,1071.23228,0.062
1994,Kepler-17,b,1.4857108,0.011
2022,Kepler-18,b,3.504725,0
2023,Kepler-18,c,7.64159,0
2024,Kepler-18,d,14.85888,0
2042,Kepler-186,f,129.9441,0.04
2049,Kepler-19,b,9.28716,0.12
2050,Kepler-19,c,28.731,0.21
2051,Kepler-19,d,62.95,0.05
2078,Kepler-20,b,3.69611525,0.03
2079,Kepler-20,c,10.85409089,0.16
2083,Kepler-20,g,34.94,0.15
2109,Kepler-21,b,2.78578,0.02
2135,Kepler-22,b,289.8623,0
2147,Kepler-223,b,7.38449,0.078
2148,Kepler-223,c,9.84564,0.15
2149,Kepler-223,d,14.78869,0.037
2150,Kepler-223,e,19.72567,0.051
2357,Kepler-296,b,10.864384,0.33
2358,Kepler-296,c,5.8416366,0.33
2359,Kepler-296,d,19.850291,0.33
2360,Kepler-296,e,34.14211,0.33
2361,Kepler-296,f,63.33627,0.33
2371,Kepler-30,b,29.33434,0.042
2372,Kepler-30,c,60.323105,0.0111
2373,Kepler-30,d,143.34394,0.022
2453,Kepler-33,b,5.66793,0
2454,Kepler-33,c,13.17562,0
2455,Kepler-33,d,21.77596,0
2456,Kepler-33,e,31.7844,0
2457,Kepler-33,f,41.02902,0
2485,Kepler-34,b,288.822,0.182
2510,Kepler-35,b,131.458,0.042
2536,Kepler-36,b,13.83989,0.039
2537,Kepler-36,c,16.23855,0.033
2559,Kepler-37,b,13.36731,0
2585,Kepler-38,b,105.599,0.032
2606,Kepler-39,b,21.08721,0.112
2629,Kepler-4,b,3.21346,0
2630,Kepler-40,b,6.87349,0
2653,Kepler-41,b,1.8555582,0
2654,Kepler-410 A,b,17.833648,0.17
2655,Kepler-411,b,3.00516,0
2658,Kepler-413,b,66.262,0.1181
2667,Kepler-418,b,86.67856,0.2
2668,Kepler-419,b,69.7546,0.833
2669,Kepler-419,c,675.47,0.184
2673,Kepler-421,b,704.1984,0.041
2675,Kepler-423,b,2.6843285,0.019
2678,Kepler-425,b,3.79701816,0.33
2679,Kepler-426,b,3.21751883,0.18
2680,Kepler-427,b,10.290994,0.57
2681,Kepler-428,b,3.52563254,0.22
2688,Kepler-432,b,52.501129,0.5134
2689,Kepler-432,c,406.2,0.498
2690,Kepler-433,b,5.33408384,0.119
2691,Kepler-434,b,12.8747099,0.131
2692,Kepler-435,b,8.6001536,0.114
2693,Kepler-436,b,64.00205,0.19
2695,Kepler-437,b,66.65062,0.02
2696,Kepler-438,b,35.23319,0.03
2697,Kepler-439,b,178.1396,0.03
2698,Kepler-44,b,3.2467293,0.066
2699,Kepler-440,b,101.11141,0.34
2700,Kepler-441,b,207.2482,0.1
2701,Kepler-442,b,112.3053,0.04
2702,Kepler-443,b,177.6693,0.11
2703,Kepler-444,b,3.6001053,0.16
2704,Kepler-444,c,4.5458841,0.31
2705,Kepler-444,d,6.189392,0.18
2706,Kepler-444,e,7.743493,0.1
2707,Kepler-444,f,9.740486,0.29
2708,Kepler-445,b,2.984151,0
2709,Kepler-445,c,4.871229,0
2710,Kepler-445,d,8.15275,0
2711,Kepler-446,b,1.565409,0
2712,Kepler-446,c,3.036179,0
2713,Kepler-446,d,5.148921,0
2714,Kepler-447,b,7.79430132,0.123
2715,Kepler-449,b,12.58242,0.03
2716,Kepler-449,c,33.6727,0.05
2717,Kepler-45,b,2.455239,0.11
2718,Kepler-450,b,28.454851,0.02
2719,Kepler-450,c,15.413135,0.02
2720,Kepler-450,d,7.51464,0.14
2722,Kepler-453,b,240.503,0.0359
2723,Kepler-454,b,10.57,0
2724,Kepler-454,c,523.9,0.0214
2726,Kepler-46,b,33.60134,0.01
2727,Kepler-46,c,57.011,0.0146
2739,Kepler-47,b,49.532,0.035
2740,Kepler-47,c,303.137,0.411
2793,Kepler-51,b,45.154,0.04
2794,Kepler-51,c,85.312,0.014
2795,Kepler-51,d,130.194,0.008
2834,Kepler-539,b,125.63243,0.39
2835,Kepler-539,c,1000,0.5
2868,Kepler-56,d,1002,0.2
2934,Kepler-61,b,59.87756,0.25
2964,Kepler-63,b,9.4341505,0.45
3021,Kepler-68,b,5.39876,0
3034,Kepler-69,b,13.722341,0.16
3035,Kepler-69,c,242.4613,0.14
3090,Kepler-74,b,7.340711,0
3101,Kepler-75,b,8.8849116,0.57
3130,Kepler-77,b,3.57878087,0
3154,Kepler-79,b,13.4845,0.015
3155,Kepler-79,c,27.4029,0.03
3156,Kepler-79,d,52.0902,0.025
3157,Kepler-79,e,81.0659,0.012
3266,Kepler-87,b,114.73635,0.036
3267,Kepler-87,c,191.2318,0.039
3299,Kepler-9,b,19.24,0.15
3300,Kepler-9,c,38.91,0.13
3326,Kepler-92,d,49.3568,0.07
3338,Kepler-93,b,4.72674,0
3424,LHS 1140,b,24.73712,0.29
3427,Lupus-TR-3,b,3.91405,0
3428,MASCARA-1,b,2.14878,0
3451,NGC 2682 Sand 364,b,121.71,0.35
3452,NGC 2682 Sand 978,b,511.21,0.16
3453,NGC 2682 YBP 1194,b,6.959,0.3
3454,NGC 2682 YBP 1514,b,5.118,0.28
3455,NGC 2682 YBP 401,b,4.087,0.15
3456,NGC 4349 127,b,677.79999,0.19
3457,NGTS-1,b,2.647298,0.016
3459,NN Ser,c,5573.55,0.08
3460,NN Ser,d,2883.5,0.19
3461,NY Vir,b,2985.7,0.44
3467,OGLE-2006-BLG-109L,c,4927.5,0.15
3508,OGLE-TR-182,b,3.9791,0
3509,OGLE-TR-211,b,3.67724,0
3512,PH1,b,138.317,0.0702
3513,PH2,b,282.5255,0.41
3515,PSR B1257+12,b,25.262,0
3516,PSR B1257+12,c,66.5419,0.0186
3519,PSR J1719-1438,b,0.09070629,0.06
3520,PSR J2322-2650,b,0.322964,0.0017
3521,Pr0201,b,4.4264,0
3522,Pr0211,b,2.1461,0.011
3523,Pr0211,c,4850,0.71
3524,Proxima Cen,b,11.186,0.35
3525,Qatar-1,b,1.4200242,0
3526,Qatar-2,b,1.33711647,0
3527,Qatar-3,b,2.5079204,0
3528,Qatar-4,b,1.8053564,0
3529,Qatar-5,b,2.8792319,0
3532,RR Cae,b,4343.5,0
3533,Ross 128,b,9.8658,0.116
3540,TRAPPIST-1,b,1.51087081,0.081
3541,TRAPPIST-1,c,2.4218233,0.083
3542,TRAPPIST-1,d,4.04961,0.07
3543,TRAPPIST-1,e,6.099615,0.085
3544,TRAPPIST-1,f,9.20669,0.063
3545,TRAPPIST-1,g,12.35294,0.061
3547,TYC 1422-614-1,b,198.4,0.06
3548,TYC 1422-614-1,c,559.3,0.048
3549,TYC 3318-01333-1,b,562,0.098
3550,TYC 3667-1280-1,b,26.468,0.036
3551,TYC 4282-00605-1,b,101.54,0.28
3552,TrES-1,b,3.03007,0
3553,TrES-2,b,2.47063,0
3554,TrES-3,b,1.30618581,0
3555,TrES-4,b,3.55395,0
3559,UZ For,b,5840,0.04
3560,UZ For,c,1916.25,0.05
3561,V0391 Peg,b,1170,0
3564,WASP-1,b,2.5199454,0
3566,WASP-100,b,2.84938,0
3567,WASP-101,b,3.58572,0
3569,WASP-104,b,1.7554137,0
3570,WASP-105,b,7.87288,0
3571,WASP-106,b,9.28971,0
3572,WASP-107,b,5.72149,0
3573,WASP-11,b,3.72247,0
3574,WASP-113,b,4.54216875,0
3575,WASP-114,b,1.5487743,0.012
3576,WASP-117,b,10.02165,0.3
3577,WASP-118,b,4.0460435,0
3578,WASP-119,b,2.49979,0.058
3579,WASP-12,b,1.09142,0.05
3580,WASP-120,b,3.6112706,0.057
3581,WASP-121,b,1.2749255,0
3582,WASP-123,b,2.9776412,0
3583,WASP-124,b,3.37265,0.017
3584,WASP-126,b,3.2888,0.18
3586,WASP-129,b,5.748145,0.096
3587,WASP-13,b,4.35301,0
3588,WASP-130,b,11.55098,0
3589,WASP-131,b,5.322023,0
3590,WASP-132,b,7.133521,0
3591,WASP-133,b,2.176423,0.17
3592,WASP-135,b,1.4013794,0
3595,WASP-139,b,5.924262,0
3596,WASP-14,b,2.24375,0.09
3597,WASP-140,b,2.2359835,0.047
3598,WASP-141,b,3.310651,0
3599,WASP-142,b,2.052868,0
3600,WASP-15,b,3.7521,0
3601,WASP-151,b,4.533471,0.003
3602,WASP-153,b,3.332609,0.009
3603,WASP-156,b,3.836169,0.007
3604,WASP-157,b,3.9516205,0
3605,WASP-16,b,3.1186,0
3607,WASP-17,b,3.73543,0
3608,WASP-18,b,0.94145,0.01
3609,WASP-19,b,0.78883899,0.002
3611,WASP-20,b,4.8996284,0
3612,WASP-21,b,4.322482,0
3613,WASP-22,b,3.53269,0.02
3614,WASP-23,b,2.9444256,0.062
3615,WASP-24,b,2.34121,0
3616,WASP-25,b,3.76483,0
3617,WASP-26,b,2.7566,0
3618,WASP-28,b,3.40883,0
3619,WASP-29,b,3.92273,0.03
3620,WASP-3,b,2.71866,0
3621,WASP-31,b,3.4059096,0
3622,WASP-32,b,2.71866,0
3623,WASP-33,b,1.21987,0
3624,WASP-34,b,4.31768,0.04
3625,WASP-35,b,3.16158,0
3627,WASP-37,b,3.577469,0
3628,WASP-38,b,6.87188,0.03
3629,WASP-39,b,4.055259,0
3630,WASP-4,b,2.14363,0
3631,WASP-41,b,3.0524,0
3632,WASP-41,c,421,0.294
3634,WASP-43,b,0.813475,0
3635,WASP-44,b,2.4238039,0
3636,WASP-45,b,3.12609,0
3639,WASP-47,c,588.5,0.296
3640,WASP-47,d,9.03077,0.014
3642,WASP-48,b,2.14363,0
3643,WASP-49,b,2.78174,0
3644,WASP-5,b,1.6284279,0.038
3645,WASP-50,b,1.9551,0.01
3646,WASP-52,b,1.7497798,0
3647,WASP-53,b,3.3098443,0.03
3648,WASP-53,c,2840,0.8369
3649,WASP-54,b,3.69364,0.07
3650,WASP-55,b,4.46563,0
3651,WASP-56,b,4.6171,0
3653,WASP-58,b,5.01718,0
3654,WASP-59,b,7.919585,0.1
3655,WASP-6,b,4.305,0
3656,WASP-60,b,4.305,0
3657,WASP-61,b,3.8559,0
3658,WASP-62,b,4.41195,0
3659,WASP-63,b,4.37808,0
3660,WASP-64,b,1.5732918,0
3661,WASP-65,b,2.3114243,0
3662,WASP-66,b,4.08605,0
3663,WASP-67,b,4.61442,0
3664,WASP-68,b,5.0843,0
3665,WASP-69,b,3.86814,0
3667,WASP-70 A,b,3.7130203,0
3668,WASP-71,b,2.90367,0
3669,WASP-72,b,2.21673,0
3670,WASP-73,b,4.08722,0
3671,WASP-74,b,2.13775,0
3672,WASP-75,b,2.484193,0
3673,WASP-76,b,1.809886,0
3674,WASP-77 A,b,1.36003,0
3675,WASP-78,b,2.17518,0
3676,WASP-79,b,3.66238,0
3677,WASP-8,b,2.70579,0
3678,WASP-8,c,4323,0
3679,WASP-80,b,3.06785234,0.002
3680,WASP-81,b,2.7164762,0.066
3681,WASP-82,b,2.70579,0
3682,WASP-83,b,4.971252,0
3683,WASP-84,b,8.5234865,0
3684,WASP-85 A,b,2.6556777,0
3685,WASP-88,b,4.954,0
3686,WASP-89,b,3.3564227,0.193
3687,WASP-90,b,3.916243,0
3688,WASP-91,b,2.798581,0
3689,WASP-92,b,2.1746742,0
3690,WASP-93,b,2.7325321,0
3691,WASP-94 A,b,3.95019,0
3692,WASP-94 B,b,2.00839,0
3693,WASP-95,b,2.18467,0
3694,WASP-96,b,3.4252602,0
3695,WASP-97,b,2.07276,0
3697,WASP-99,b,5.75251,0
3700,WTS-1,b,3.352057,0.1
3701,WTS-2,b,1.0187068,0
3702,Wolf 1061,b,4.8869,0.15
3703,Wolf 1061,c,17.8719,0.11
3704,Wolf 1061,d,217.21,0.55
3705,XO-1,b,3.94153,0
3706,XO-2 N,b,2.61585922,0.006
3707,XO-2 S,b,18.157,0.18
3708,XO-2 S,c,120.8,0.1528
3709,XO-3,b,3.19154,0.29
3710,XO-4,b,4.12508,0
3711,XO-5,b,4.1877558,0
3712,XO-6,b,3.7650007,0
3713,YZ Cet,b,1.96876,0
3714,YZ Cet,c,3.06008,0.04
3715,YZ Cet,d,4.65627,0.129
3716,alf Ari,b,380.8,0.25
3717,alf Tau,b,628.96,0.1
3718,bet Cnc,b,605.2,0.08
3719,bet Pic,b,7665,0.08
3720,bet UMi,b,522.3,0.19
3721,eps CrB,b,417.9,0.11
3722,eps Eri,b,2502,0.702
3723,eps Tau,b,594.9,0.151
3724,gam 1 Leo,b,428.5,0.144
3725,gam Cep,b,903.3,0.049
3726,gam Lib,b,415.2,0.21
3727,gam Lib,c,964.6,0.057
3729,kap CrB,b,1261.94,0.044
3730,mu Leo,b,357.8,0.09
3731,nu Oph,b,530.32,0.1256
3732,nu Oph,c,3186,0.165
3733,ome Ser,b,277.02,0.106
3734,omi CrB,b,187.83,0.191
3735,omi UMa,b,1630,0.13
3736,psi 1 Dra B,b,3117,0.4
3737,rho CrB,b,39.8458,0.0373
3738,rho CrB,c,102.54,0.052
3739,tau Boo,b,3.3124568,0.011
3740,tau Cet,e,162.87,0.18
3741,tau Cet,f,636.13,0.16
3742,tau Cet,g,20,0.06
3743,tau Cet,h,49.41,0.23
3744,tau Gem,b,305.5,0.031
3745,ups And,b,4.617033,0.0215
3746,ups And,c,241.258,0.2596
3747,ups And,d,1276.46,0.2987
3748,xi Aql,b,136.75,0